query_id	 spl_est	 spl_ci	 aqpp_est	 aqpp_ci	 real_value	 selectively	 time_spl	 time_aqpp	 time_direct	 error_spl	 error_aqpp
138	43134937759.997894	1336953081.317492	-1.000000	213885441.260826	43215881926.180000	0.021726	0.000000	0.003000	0.912000	0.030937	0.004949
139	41348674999.998024	1309579859.370070	-1.000000	239602074.991905	41643011408.120003	0.020826	0.001000	0.002000	0.868000	0.031448	0.005754
140	79213034986.661957	1794851378.767390	-1.000000	256522729.583115	77887275176.720001	0.039897	0.001000	0.003000	0.949000	0.023044	0.003294
141	76599798726.662140	1766206433.599463	-1.000000	86442455.755967	77699452955.399994	0.038581	0.001000	0.002000	0.983000	0.022731	0.001113
142	70557379019.995911	1697794645.794210	-1.000000	207262004.642603	73342261899.660004	0.035537	0.001000	0.004000	0.961000	0.023149	0.002826
143	80234892693.331543	1770564156.343319	-1.000000	207225063.483326	80250292775.960007	0.043623	0.001000	0.002000	0.991000	0.022063	0.002582
144	48148209240.002495	1447950230.182922	-1.000000	70784599.748310	48436630944.360001	0.023297	0.000000	0.002000	0.896000	0.029894	0.001461
145	68721251039.994659	1808364250.029881	-1.000000	428039270.798029	69276958503.119995	0.029889	0.000000	0.002000	0.858000	0.026103	0.006179
146	11632760566.666832	699901005.248137	-1.000000	189632415.578521	11705181392.639999	0.005859	0.000000	0.002000	0.841000	0.059794	0.016201
147	83478276433.327576	1903012564.422074	-1.000000	173051546.655743	84060640549.520004	0.039641	0.001000	0.002000	0.935000	0.022639	0.002059
148	67916821679.994743	1798073176.946514	-1.000000	162191496.206326	67378122151.919998	0.029539	0.001000	0.001000	0.960000	0.026686	0.002407
149	78028096079.996506	1885480458.518217	-1.000000	114623908.248258	77040744172.639999	0.037065	0.001000	0.002000	0.970000	0.024474	0.001488
150	41536646159.997208	1414446938.769622	-1.000000	50052826.445891	41066923257.360001	0.018066	0.001000	0.001000	0.860000	0.034442	0.001219
151	60523433886.663307	1576560331.785130	-1.000000	161701061.566921	60907623722.139999	0.030484	0.001000	0.002000	0.948000	0.025884	0.002655
152	53885593259.997116	1490159191.801921	-1.000000	134949620.484482	54281713566.500000	0.027140	0.001000	0.002000	0.932000	0.027452	0.002486
153	23408863206.665981	989887784.038580	-1.000000	149709419.570469	23096145934.220001	0.011790	0.000000	0.003000	0.851000	0.042859	0.006482
154	97351320419.993988	1980272614.978288	-1.000000	163137979.461040	99327787085.000000	0.049033	0.000000	0.003000	1.014000	0.019937	0.001642
155	79918719039.995239	1802494801.778551	-1.000000	195656561.620317	81937162879.860001	0.040252	0.001000	0.002000	1.054000	0.021999	0.002388
